Comment,Designator,Footprint,LCSC Part #
"proteus","BRD1","proteus",""
"100n","C1","C0603","C14663"
"47p","C2","C0603","C1671"
"100n","C3","C0603","C14663"
"47p","C4","C0603","C1671"
"Fuse-Pad-Pad","F1","PAD-1206-PAD","C182446"
"10A","F2","FUSE_8.5x4","C354908"
"10A","F3","FUSE_8.5x4","C354908"
"Fuse-Pad-Pad","F4","PAD-1206-PAD","C182446"
"10A","F5","FUSE_8.5x4","C354908"
"10A","F6","FUSE_8.5x4","C354908"
"10A","F7","FUSE_8.5x4","C354908"
"10A","F8","FUSE_8.5x4","C354908"
"PROTO_AREA","G1","PROTO_AREA",""
"PROTO_AREA","G2","PROTO_AREA",""
"PROTO_AREA","G3","PROTO_AREA",""
"PROTO_AREA","G4","PROTO_AREA",""
"PROTO_AREA","G5","PROTO_AREA",""
"PROTO_AREA","G6","PROTO_AREA",""
"PROTO_AREA","G7","PROTO_AREA",""
"Conn_01x02","J1","Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal","C240832"
"Conn_01x02","J2","Molex_Mini-Fit_Jr_5569-02A2_2x01_P4.20mm_Horizontal","C240832"
"Conn_01x06","J3","PinHeader_1x06_P2.54mm_Vertical",""
"XH-6AW","J4","JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal","C8876"
"XH-6AW","J5","JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal","C8876"
"XH-4AW","J6","JST_XH_S4B-XH-A_1x04_P2.50mm_Horizontal","C21273"
"XH-10AW","J7","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal","C14652"
"7-967288-1","J8","TE_7-967288-1",""
"7-967288-1","J9","TE_7-967288-1",""
"XH-10AW","J10","JST_XH_S10B-XH-A_1x10_P2.50mm_Horizontal","C14652"
"Conn_01x06","J13","PinHeader_1x06_P2.54mm_Vertical",""
"XH-6AW","J16","JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal","C8876"
"XH-6AW","J17","JST_XH_S6B-XH-A_1x06_P2.50mm_Horizontal","C8876"
"XH-8AW","J19","JST_XH_S8B-XH-A_1x08_P2.50mm_Horizontal","C10395"
"Conn_01x01","J20","TestPoint_Pad_D2.0mm",""
"Module:wbo/0.3","M1","wbo",""
"Module:can/0.1","M2","can",""
"Module:wbo/0.3","M3","wbo",""
"Module:can/0.1","M4","can",""
"Pad","P1","PAD-TH",""
"Pad","P2","PAD-TH",""
"Pad","P3","PAD-TH",""
"Pad","P4","PAD-TH",""
"Pad","P5","PAD-TH",""
"Pad","P6","PAD-TH",""
"Pad","P7","PAD-TH",""
"Pad","P8","PAD-TH",""
"Pad","P9","PAD-TH",""
"Pad","P10","PAD-TH",""
"Pad","P11","PAD-TH",""
"Pad","P12","PAD-TH",""
"Pad","P13","PAD-TH",""
"Pad","P14","PAD-TH",""
"Pad","P15","PAD-TH",""
"Pad","P16","PAD-TH",""
"Pad","P17","PAD-TH",""
"Pad","P18","PAD-TH",""
"Pad","P19","PAD-TH",""
"Pad","P20","PAD-TH",""
"Pad","P21","PAD-TH",""
"Pad","P22","PAD-TH",""
"Pad","P23","PAD-TH",""
"Pad","P24","PAD-TH",""
"Pad","P25","PAD-TH",""
"Pad","P26","PAD-TH",""
"Pad","P27","PAD-TH",""
"Pad","P28","PAD-TH",""
"Pad","P29","PAD-TH",""
"Pad","P30","PAD-TH",""
"Pad","P31","PAD-TH",""
"Pad","P32","PAD-TH",""
"Pad","P33","PAD-TH",""
"Pad","P34","PAD-TH",""
"Pad","P35","PAD-TH",""
"Pad","P36","PAD-TH",""
"Pad","P37","PAD-TH",""
"Pad","P38","PAD-TH",""
"Pad","P39","PAD-TH",""
"Pad","P40","PAD-TH",""
"Pad","P41","PAD-TH",""
"Pad","P42","PAD-TH",""
"Pad","P43","PAD-TH",""
"Pad","P44","PAD-TH",""
"Pad","P45","PAD-TH",""
"Pad","P46","PAD-TH",""
"Pad","P47","PAD-TH",""
"Pad","P48","PAD-TH",""
"Pad","P49","PAD-TH",""
"Pad","P50","PAD-TH",""
"Pad","P51","PAD-TH",""
"Pad","P52","PAD-TH",""
"Pad","P53","PAD-TH",""
"Pad","P54","PAD-TH",""
"Pad","P55","PAD-TH",""
"Pad","P56","PAD-TH",""
"Pad","P57","PAD-TH",""
"Pad","P58","PAD-TH",""
"Pad","P59","PAD-TH",""
"Pad","P60","PAD-TH",""
"Pad","P61","PAD-TH",""
"Pad","P62","PAD-TH",""
"Pad","P63","PAD-TH",""
"Pad","P64","PAD-TH",""
"Pad","P65","PAD-TH",""
"Pad","P66","PAD-TH",""
"Pad","P67","PAD-TH",""
"Pad","P68","PAD-TH",""
"Pad","P69","PAD-TH",""
"Pad","P70","PAD-TH",""
"Pad","P71","PAD-TH",""
"Pad","P72","PAD-TH",""
"Pad","P73","PAD-TH",""
"Pad","P74","PAD-TH",""
"Pad","P75","PAD-TH",""
"Pad","P76","PAD-TH",""
"Pad","P77","PAD-TH",""
"Pad","P78","PAD-TH",""
"Pad","P79","PAD-TH",""
"ISL9V3040S3S","Q1","TO-263-2","C898702"
"ISL9V3040S3S","Q2","TO-263-2","C898702"
"22","R1","R0603","C23345"
"DNP","R2","R_2512_6332Metric",""
"22","R3","R0603","C23345"
"DNP","R4","R_2512_6332Metric",""
"51k","R5","R0603","C23196"
"51k","R6","R0603","C23196"
"MPXxx6115A","U1","MPX_SOP_SSOP",""
"MPX4/MPXH6400_MAP","U2","MPX-4_MAP",""
